Fighter,Elo Rating
Rich Franklin,1400.0
Chris Leben,1380.0
Homer Moore,1380.0
Rashad Evans,1360.0
Lyoto Machida,1360.0
Ryan Bader,1340.0
David Heath,1340.0
Edwin DeWees,1340.0
Jason Thacker,1340.0
Chris Haseman,1340.0
Pat Miletich,1340.0
Anderson Silva,1320.0
Diego Sanchez,1320.0
Jon Fitch,1320.0
Nate Quarry,1320.0
Jason Lambert,1320.0
Brad Imes,1320.0
Sam Hoger,1320.0
Alexander Volkanovski,1300.0
Joseph Benavidez,1300.0
David Teymur,1300.0
Joshua Burkman,1300.0
Michael Bisping,1300.0
Nate Marquardt,1300.0
Ian McCall,1300.0
Thiago Silva,1300.0
Vinny Magalhaes,1300.0
Eliot Marshall,1300.0
Keith Jardine,1300.0
Cory Walmsley,1300.0
Royce Gracie,1300.0
Chris Brennan,1300.0
Paul Jones,1300.0
Townsend Saunders,1300.0
Nick Diaz,1280.0
Mirsad Bektic,1280.0
John Dodson,1280.0
Edimilson Souza,1280.0
Kenny Florian,1280.0
Ian Loveland,1280.0
Brock Larson,1280.0
Kazuhiro Nakamura,1280.0
Victor Valimaki,1280.0
Jeff Monson,1280.0
Rob MacDonald,1280.0
David Terrell,1280.0
Jeff Newton,1280.0
Bobby Southworth,1280.0
Lodune Sincaid,1280.0
Mikey Burnett,1280.0
Kamaru Usman,1260.0
Jon Jones,1260.0
Khabib Nurmagomedov,1260.0
Rogerio Nogueira,1260.0
Teruto Ishihara,1260.0
Yushin Okami,1260.0
Jeremy Kennedy,1260.0
Jim Alers,1260.0
Igor Pokrajac,1260.0
Martin Svensson,1260.0
Joe Riggs,1260.0
Mike Swick,1260.0
Josh Koscheck,1260.0
Matt Hamill,1260.0
Milton Vieira,1260.0
Eric Schafer,1260.0
Jason Brilz,1260.0
Houston Alexander,1260.0
Pete Sell,1260.0
Luigi Fioravanti,1260.0
Jules Bruchez,1260.0
Rameau Thierry Sokoudjou,1260.0
Evan Tanner,1260.0
Terry Martin,1260.0
Josh Haynes,1260.0
Gideon Ray,1260.0
Ken Shamrock,1260.0
Sammy Morgan,1260.0
Kerry Schall,1260.0
Brian Gassaway,1260.0
Flavio Luiz Moura,1260.0
Courtney Turner,1260.0
Gerard Gordeau,1260.0
Art Jimmerson,1260.0
Drakkar Klose,1240.0
Brad Katona,1240.0
Marc Diakiese,1240.0
Robbie Lawler,1240.0
TJ Dillashaw,1240.0
Chas Skelly,1240.0
Gregor Gillespie,1240.0
John Moraga,1240.0
Georges St-Pierre,1240.0
Michael McBride,1240.0
Jason Novelli,1240.0
Mark Eddiva,1240.0
Noad Lahat,1240.0
Phil Davis,1240.0
Antonio Carvalho,1240.0
Josh Neer,1240.0
Jason MacDonald,1240.0
Tyler Toner,1240.0
Tomasz Drwal,1240.0
Dean Lister,1240.0
Charles McCarthy,1240.0
Hector Ramirez,1240.0
Sean Salmon,1240.0
Drew Fickett,1240.0
Jeremy Jackson,1240.0
Ansar Chalangov,1240.0
Mike Whitehead,1240.0
Renato Verissimo,1240.0
Vernon White,1240.0
Falaniko Vitale,1240.0
Rodrigo Ruas,1240.0
Murilo Bustamante,1240.0
Yuki Kondo,1240.0
Jorge Patino,1240.0
Eugenio Tadeu,1240.0
Don Frye,1240.0
Tim Elliott,1220.0
Stephen Thompson,1220.0
Arnold Allen,1220.0
Shane Young,1220.0
Casey Kenney,1220.0
Junior Dos Santos,1220.0
Brett Johns,1220.0
Manny Bermudez,1220.0
Alex Ricci,1220.0
Ali Bagautinov,1220.0
Lukasz Sajewski,1220.0
Hayder Hassan,1220.0
Paul Redmond,1220.0
Alan Omer,1220.0
Mark Munoz,1220.0
Quinton Jackson,1220.0
Darren Uyenoyama,1220.0
Alessio Sakara,1220.0
Nah-Shon Burrell,1220.0
Alan Belcher,1220.0
Yasuhiro Urushitani,1220.0
Forrest Griffin,1220.0
Jason Miller,1220.0
Steve Cantwell,1220.0
Krzysztof Soszynski,1220.0
Kendall Grove,1220.0
Joe Doerksen,1220.0
Karo Parisyan,1220.0
Chuck Liddell,1220.0
Jesse Forbes,1220.0
Wilson Gouveia,1220.0
Andre Gusmao,1220.0
Ivan Salaverry,1220.0
Kalib Starnes,1220.0
Kuniyoshi Hironaka,1220.0
Mike Nickels,1220.0
Rory Singer,1220.0
Jeff Joslin,1220.0
Jason Von Flue,1220.0
Derrick Noble,1220.0
Ron Faircloth,1220.0
Chris Sanford,1220.0
Alex Schoenauer,1220.0
Kenichi Yamamoto,1220.0
Jason DeLucia,1220.0
Andre Pederneiras,1220.0
Tony Petarra,1220.0
Darrel Gholar,1220.0
Patrick Smith,1220.0
Kevin Rosier,1220.0
Teila Tuli,1220.0
Neil Magny,1200.0
Petr Yan,1200.0
Arman Tsarukyan,1200.0
Kyoji Horiguchi,1200.0
Youssef Zalal,1200.0
Kelvin Gastelum,1200.0
Andre Fili,1200.0
Cody Stamann,1200.0
Makwan Amirkhani,1200.0
Alexander Gustafsson,1200.0
Jussier Formiga,1200.0
Stevie Ray,1200.0
Devin Powell,1200.0
John Gunther,1200.0
Gray Maynard,1200.0
Ryan LaFlare,1200.0
Jay Cucciniello,1200.0
Marco Beltran,1200.0
Patrick Cote,1200.0
Roan Carneiro,1200.0
Ronda Rousey,1200.0
Yusuke Kasuya,1200.0
Gasan Umalatov,1200.0
Vaughan Lee,1200.0
Chris Clements,1200.0
Jumabieke Tuerxun,1200.0
Renee Forte,1200.0
Cyrille Diabate,1200.0
Will Chope,1200.0
Aaron Riley,1200.0
Ulysses Gomez,1200.0
