fighter,fights,wins,losses,draws,ncs,knockdowns,strikes,takedowns,submissions
Manel Kape,10,7,3,0,0,7,561,3,2
Brandon Royval,12,7,5,0,0,3,768,6,10
Kevin Vallejos,3,3,0,0,0,2,124,2,0
Giga Chikadze,12,8,4,0,0,6,589,2,2
Cezary Oleksiejczuk,1,1,0,0,0,0,14,6,0
Cesar Almeida,5,3,2,0,0,1,176,0,1
Melquizael Costa,8,6,2,0,0,1,343,10,6
Morgan Charriere,6,3,3,0,0,3,205,7,1
Kennedy Nzechukwu,15,8,6,0,1,3,624,5,2
Marcus Buchecha,2,0,1,0,1,0,51,4,0
King Green,28,14,12,0,2,5,1938,23,5
Lance Gibson Jr.,1,0,1,0,0,0,30,2,0
Yaroslav Amosov,1,1,0,0,0,0,9,1,1
Neil Magny,37,24,13,0,0,2,1506,64,8
Joanderson Brito,9,6,3,0,0,1,183,18,7
Isaac Thomson,1,0,1,0,0,0,21,4,0
Steven Asplund,1,1,0,0,0,0,170,0,0
Sean Sharaf,2,0,2,0,0,0,119,1,0
Luana Santos,6,5,1,0,0,0,186,9,5
Melissa Croden,2,1,1,0,0,1,121,2,0
Guilherme Pat,1,1,0,0,0,0,64,0,0
Allen Frye Jr.,1,0,1,0,0,0,33,0,0
Jamey-Lyn Horth,6,4,2,0,0,0,280,6,1
Tereza Bleda,3,1,2,0,0,0,77,4,2
Petr Yan,16,12,4,0,0,10,1456,32,2
Merab Dvalishvili,17,14,3,0,0,1,1322,119,7
Joshua Van,10,9,1,0,0,5,1099,7,0
Alexandre Pantoja,18,14,4,0,0,4,941,40,14
Tatsuro Taira,9,8,1,0,0,3,282,20,10
Brandon Moreno,19,11,6,0,2,4,1229,31,9
Payton Talbott,6,5,1,0,0,3,362,4,1
Henry Cejudo,16,10,6,0,0,5,838,26,2
Jan Blachowicz,22,12,8,0,2,7,1037,19,7
Bogdan Guskov,6,4,1,0,1,4,199,0,2
Manuel Torres,6,5,1,0,0,4,102,2,1
Grant Dawson,14,11,2,0,1,1,493,40,10
Chris Duncan,7,6,1,0,0,2,294,13,3
Terrance McKinney,12,7,5,0,0,3,216,6,5
Maycee Barber,12,10,2,0,0,0,630,15,1
Karine Silva,7,5,2,0,0,1,182,12,6
Fares Ziam,10,8,2,0,0,2,373,15,4
Nazim Sadykhov,6,4,1,0,1,2,273,5,1
Brunno Ferreira,8,6,2,0,0,3,208,5,3
Marvin Vettori,18,9,8,0,1,1,1464,29,8
Jalin Turner,14,8,6,0,0,9,511,4,7
Edson Barboza,32,18,14,0,0,16,1586,11,2
Iwo Baraniewski,1,1,0,0,0,2,22,0,0
Ibo Aslan,5,2,3,0,0,2,175,0,0
Mansur Abdul-Malik,4,3,0,0,1,1,85,2,1
Antonio Trocoli,3,0,3,0,0,0,21,0,0
Mairon Santos,4,4,0,0,0,2,156,0,0
Muhammad Naimov,7,5,2,0,0,1,175,9,1
Arman Tsarukyan,12,10,2,0,0,3,567,32,1
Dan Hooker,23,14,9,0,0,9,1141,11,7
Ian Machado Garry,11,10,1,0,0,4,775,10,4
Belal Muhammad,21,15,5,0,1,0,1429,46,3
Volkan Oezdemir,16,9,7,0,0,7,751,5,1
Alonzo Menifield,17,10,6,0,1,5,545,5,2
Myktybek Orolbai,5,4,1,0,0,2,151,17,2
Jack Hermansson,19,11,8,0,0,0,1048,20,5
Waldo Cortes Acosta,11,9,2,0,0,5,661,3,1
Shamil Gaziev,5,3,2,0,0,1,122,3,0
Kyoji Horiguchi,9,8,1,0,0,6,455,15,1
Tagir Ulanbekov,8,6,2,0,0,1,298,18,10
Luke Riley,1,1,0,0,0,1,14,0,0
Bogdan Grad,3,1,2,0,0,0,84,10,0
Nicolas Dalby,15,8,5,0,2,2,772,12,1
Saygid Izagakhmaev,1,0,1,0,0,0,20,4,0
Asu Almabayev,7,6,1,0,0,1,210,27,9
Alex Perez,13,7,6,0,0,4,397,15,4
Abdul Rakhman Yakhyaev,1,1,0,0,0,1,6,1,1
Rafael Cerqueira,4,0,4,0,0,0,29,0,0
Aleksandre Topuria,2,2,0,0,0,0,88,3,0
Bekzat Almakhan,3,1,2,0,0,2,50,0,0
Ismail Naurdiev,7,4,3,0,0,1,335,9,1
Ryan Loder,3,1,2,0,0,0,56,1,1
Nurullo Aliev,3,3,0,0,0,0,105,6,1
Shem Rock,1,0,1,0,0,0,44,1,0
Denzel Freeman,1,1,0,0,0,0,49,0,0
Marek Bujlo,1,0,1,0,0,0,31,0,0
Islam Makhachev,18,17,1,0,0,4,485,41,13
Jack Della Maddalena,9,8,1,0,0,6,559,1,1
Valentina Shevchenko,19,15,3,0,1,2,1100,64,7
Zhang Weili,13,10,3,0,0,3,929,26,6
Michael Morales,7,7,0,0,0,7,356,1,0
Sean Brady,10,8,2,0,0,1,522,31,8
Carlos Prates,7,6,1,0,0,9,235,1,0
Leon Edwards,20,14,5,0,1,5,873,28,8
Benoit Saint Denis,11,8,3,0,0,5,386,22,8
Beneil Dariush,25,17,7,0,1,7,833,31,12
Bo Nickal,6,5,1,0,0,2,155,7,5
Rodolfo Vieira,10,6,4,0,0,0,354,18,6
Gregory Rodrigues,12,9,3,0,0,7,640,15,3
Roman Kopylov,11,6,5,0,0,6,607,10,0
Erin Blanchfield,9,8,1,0,0,0,643,16,7
Tracy Cortez,8,6,2,0,0,0,473,16,3
