Fighter,Elo Rating
Jon Jones,1236.25
Islam Makhachev,1200.32
Amanda Nunes,1198.7
Georges St-Pierre,1197.75
Kamaru Usman,1191.19
Khabib Nurmagomedov,1188.83
Anderson Silva,1185.47
Demetrious Johnson,1176.63
Alexander Volkanovski,1173.2
Jon Fitch,1166.85
Dustin Poirier,1160.82
Royce Gracie,1160.21
Max Holloway,1154.43
Matt Hughes,1154.4
Valentina Shevchenko,1153.7
Ilia Topuria,1151.87
Donald Cerrone,1148.51
Francis Ngannou,1147.85
Movsar Evloev,1146.56
Ian Machado Garry,1146.14
Junior Dos Santos,1145.65
Joseph Benavidez,1144.87
Arnold Allen,1142.85
Israel Adesanya,1142.61
Chuck Liddell,1141.38
Rich Franklin,1141.36
Khamzat Chimaev,1138.82
Cain Velasquez,1138.41
Grant Dawson,1135.9
Brendan Allen,1135.7
Alexandre Pantoja,1133.01
Merab Dvalishvili,1132.72
Lerone Murphy,1132.33
Deiveson Figueiredo,1132.1
Dong Hyun Kim,1130.9
Demian Maia,1130.52
Magomed Ankalaev,1130.34
Daniel Cormier,1130.3
Aljamain Sterling,1130.29
Petr Yan,1128.94
Jim Miller,1128.3
Dricus Du Plessis,1128.16
Sean Strickland,1127.86
Ciryl Gane,1127.6
Leon Edwards,1127.36
Michael Bisping,1127.15
Benson Henderson,1127.15
Randy Couture,1124.9
Don Frye,1124.85
Muhammad Mokaev,1124.78
Manon Fiorot,1124.23
Lyoto Machida,1124.23
Ryan Bader,1122.92
Conor McGregor,1122.31
Tatiana Suarez,1122.09
Joshua Van,1121.93
Vicente Luque,1121.75
Robert Whittaker,1121.52
Arman Tsarukyan,1121.49
Song Yadong,1121.27
Beneil Dariush,1121.15
Frankie Edgar,1120.87
Rashad Evans,1120.65
Tony Ferguson,1120.62
Stipe Miocic,1120.15
Michael Morales,1119.42
Paddy Pimblett,1118.63
Natalia Silva,1118.35
Glover Teixeira,1118.16
Alex Pereira,1117.61
Erin Blanchfield,1117.21
Tom Aspinall,1117.14
Belal Muhammad,1117.07
Curtis Blaydes,1116.76
Jack Della Maddalena,1116.6
Shavkat Rakhmonov,1115.35
Derrick Lewis,1114.78
Neil Magny,1114.6
Kyoji Horiguchi,1114.14
Carlos Ulberg,1114.1
Tatsuro Taira,1114.04
Maycee Barber,1113.8
Alexander Volkov,1111.2
Yair Rodriguez,1108.9
Zhang Weili,1108.84
Joanna Jedrzejczyk,1108.73
Sean O'Malley,1108.43
Colby Covington,1108.11
Yushin Okami,1107.74
Umar Nurmagomedov,1106.68
Phil Davis,1106.08
Rustam Khabilov,1105.86
John Lineker,1105.66
Jose Aldo,1105.32
Darren Elkins,1105.06
Caio Borralho,1104.6
Gilbert Burns,1104.21
Drakkar Klose,1104.11
Josh Koscheck,1103.81
Rinat Fakhretdinov,1103.38
Charles Oliveira,1103.36
Francisco Trinaldo,1103.3
Waldo Cortes Acosta,1103.12
Jailton Almeida,1102.97
Sean Brady,1102.63
Azamat Murzakanov,1102.46
Cory Sandhagen,1102.31
Diego Sanchez,1101.75
Derek Brunson,1101.44
Yoel Romero,1100.88
TJ Dillashaw,1100.57
Nassourdine Imavov,1100.17
Pat Miletich,1100.04
Johny Hendricks,1099.74
Nathaniel Wood,1099.7
Gray Maynard,1099.39
Bryce Mitchell,1098.69
Anthony Hernandez,1097.91
Gregor Gillespie,1097.39
Nik Lentz,1097.28
Brad Tavares,1097.02
Michael Chiesa,1096.1
Elizeu Zaleski dos Santos,1095.96
Bryan Battle,1095.63
Cristiane Justino,1094.6
Martin Buday,1094.38
Raphael Assuncao,1094.14
Edson Barboza,1094.04
Zabit Magomedsharipov,1093.78
Norma Dumont,1093.56
Pat Sabatini,1093.49
Kenny Florian,1093.33
Raoni Barcelos,1093.12
Frank Shamrock,1092.8
Daniel Rodriguez,1092.01
Farid Basharat,1091.99
Joel Alvarez,1091.74
Mario Bautista,1091.63
Evan Tanner,1091.5
John Hathaway,1091.45
Michel Prazeres,1091.08
Matt Hamill,1090.53
James Vick,1090.13
Rani Yahya,1089.16
Andrei Arlovski,1088.92
Carlos Prates,1088.58
Jacqueline Cavalcanti,1088.18
Gregory Rodrigues,1087.88
Martin Kampmann,1087.63
Ricardo Lamas,1087.55
Yan Xiaonan,1087.13
Gillian Robertson,1087.09
Frank Mir,1086.95
Matt Lindland,1086.54
Fabricio Werdum,1086.44
Tito Ortiz,1086.35
Cub Swanson,1085.23
Montel Jackson,1085.04
Vitor Belfort,1084.94
Ricky Simon,1084.9
Raquel Pennington,1084.89
John Dodson,1084.79
Tim Sylvia,1084.58
Sean Woodson,1084.53
Elias Theodorou,1084.27
Mairbek Taisumov,1084.18
Steve Garcia,1083.81
Chad Mendes,1083.6
Jasmine Jasudavicius,1083.51
Germaine de Randamie,1083.45
Brandon Moreno,1083.36
Zak Cummings,1083.06
Chris Duncan,1082.9
Ronda Rousey,1082.78
Jake Matthews,1082.6
Mackenzie Dern,1082.29
Asu Almabayev,1082.28
Leonardo Santos,1082.06
Fares Ziam,1081.94
Anthony Johnson,1081.88
Mike Malott,1081.83
Randy Brown,1081.31
Chris Weidman,1081.24
David Teymur,1081.21
Mike Swick,1081.08
Chris Gutierrez,1080.73
Henry Cejudo,1080.29
Nate Diaz,1079.9
Rashid Magomedov,1079.74
Joe Pyfer,1079.6
Myles Jury,1079.21
Gegard Mousasi,1079.07
Kelvin Gastelum,1078.76
Aiemann Zahabi,1078.6
Tracy Cortez,1078.57
Dan Severn,1078.52
Karo Parisyan,1078.26
Dominick Cruz,1078.04
Gabriel Bonfim,1078.02
