event,event_url,result,fighter_1,fighter_2,fighter_1_knockdowns_number,fighter_2_knockdowns_number,fighter_1_number_strikes,fighter_2_number_strikes,fighter_1_number_takedowns,fighter_2_number_takedowns,fighter_1_number_submissions,fighter_2_number_submissions,weightclass,method,move,round_that_won,time_elapsed_in_winround,fighter_1_elo_start,fighter_2_elo_start,fighter_1_elo_end,fighter_2_elo_end
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Manel Kape,Brandon Royval,1,0,17,17,0,0,0,0,Flyweight,KO/TKO,Punches,1,3:18,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Kevin Vallejos,Giga Chikadze,1,0,20,12,0,0,0,0,Featherweight,KO/TKO,Spinning Back Fist,2,1:29,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Cezary Oleksiejczuk,Cesar Almeida,0,0,14,12,6,0,0,0,Middleweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Melquizael Costa,Morgan Charriere,1,0,4,2,0,0,0,0,Featherweight,KO/TKO,Kick,1,1:14,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,drawdraw,Kennedy Nzechukwu,Marcus Buchecha,0,0,24,27,0,3,0,0,Heavyweight,U-DEC,,3,5:00,1000.0,1000.0,1000.0,1000.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,King Green,Lance Gibson Jr.,0,0,65,30,1,2,0,0,Catch Weight,S-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Yaroslav Amosov,Neil Magny,0,0,9,5,1,0,1,0,Welterweight,SUB,Anaconda Choke,1,3:14,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Joanderson Brito,Isaac Thomson,0,0,33,21,8,4,2,0,Featherweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Steven Asplund,Sean Sharaf,0,0,170,66,0,0,0,0,Heavyweight,KO/TKO,Punches,2,3:49,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Luana Santos,Melissa Croden,0,0,12,22,3,0,1,0,Women's Bantamweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Guilherme Pat,Allen Frye Jr.,0,0,64,33,0,0,0,0,Heavyweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,win,Jamey-Lyn Horth,Tereza Bleda,0,0,16,2,0,0,0,0,Women's Flyweight,KO/TKO,Punches,1,2:05,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Petr Yan,Merab Dvalishvili,0,0,139,134,5,2,0,2,Bantamweight,U-DEC,,5,5:00,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Joshua Van,Alexandre Pantoja,0,0,2,6,0,0,0,0,Flyweight,KO/TKO,,1,0:26,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Tatsuro Taira,Brandon Moreno,0,0,28,9,1,0,0,1,Flyweight,KO/TKO,Punches,2,2:24,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Payton Talbott,Henry Cejudo,1,0,134,60,3,1,0,0,Bantamweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,drawdraw,Jan Blachowicz,Bogdan Guskov,1,1,84,80,0,0,1,0,Light Heavyweight,M-DEC,,3,5:00,1000.0,1000.0,1000.0,1000.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Manuel Torres,Grant Dawson,1,0,9,8,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:25,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Chris Duncan,Terrance McKinney,1,0,38,31,1,0,1,0,Lightweight,SUB,Anaconda Choke,1,2:30,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Maycee Barber,Karine Silva,0,0,55,21,3,2,0,0,Women's Flyweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Fares Ziam,Nazim Sadykhov,1,0,31,4,2,0,2,0,Lightweight,KO/TKO,Punches,2,4:59,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Brunno Ferreira,Marvin Vettori,0,0,77,88,1,1,0,0,Middleweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Jalin Turner,Edson Barboza,2,0,39,10,0,0,0,0,Lightweight,KO/TKO,Punches,1,2:24,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Iwo Baraniewski,Ibo Aslan,2,1,22,30,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,1:29,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Mansur Abdul-Malik,Antonio Trocoli,0,0,2,3,1,0,1,0,Middleweight,SUB,Guillotine Choke,1,1:09,1000.0,1000.0,1020.0,980.0
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,win,Mairon Santos,Muhammad Naimov,1,0,27,18,0,0,0,0,Featherweight,KO/TKO,Punches,3,0:21,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Arman Tsarukyan,Dan Hooker,0,0,42,10,2,0,1,2,Lightweight,SUB,Arm Triangle,2,3:34,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Ian Machado Garry,Belal Muhammad,0,0,72,56,0,0,0,0,Welterweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Volkan Oezdemir,Alonzo Menifield,1,0,13,2,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,1:27,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Myktybek Orolbai,Jack Hermansson,1,0,15,19,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:46,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Waldo Cortes Acosta,Shamil Gaziev,2,0,10,6,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:22,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Kyoji Horiguchi,Tagir Ulanbekov,2,0,49,6,0,1,1,1,Flyweight,SUB,Rear Naked Choke,3,2:18,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Luke Riley,Bogdan Grad,1,0,14,7,0,4,0,0,Featherweight,KO/TKO,Punches,2,0:30,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Nicolas Dalby,Saygid Izagakhmaev,0,0,26,20,0,4,0,0,Welterweight,S-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Asu Almabayev,Alex Perez,0,0,36,40,2,3,1,0,Flyweight,SUB,Guillotine Choke,3,0:22,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Abdul Rakhman Yakhyaev,Rafael Cerqueira,1,0,6,0,1,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,0:33,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Aleksandre Topuria,Bekzat Almakhan,0,0,47,39,2,0,0,0,Bantamweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Ismail Naurdiev,Ryan Loder,1,0,3,1,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:26,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Nurullo Aliev,Shem Rock,0,0,51,44,1,1,1,0,Lightweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,win,Denzel Freeman,Marek Bujlo,0,0,49,31,0,0,0,0,Heavyweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Islam Makhachev,Jack Della Maddalena,0,0,30,18,4,0,0,0,Welterweight,U-DEC,,5,5:00,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Valentina Shevchenko,Zhang Weili,0,0,41,32,5,0,0,0,Women's Flyweight,U-DEC,,5,5:00,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Michael Morales,Sean Brady,1,0,24,8,0,0,0,0,Welterweight,KO/TKO,Punches,1,3:27,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Carlos Prates,Leon Edwards,1,0,21,12,0,2,0,0,Welterweight,KO/TKO,Punch,2,1:28,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Benoit Saint Denis,Beneil Dariush,1,0,3,3,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:16,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Bo Nickal,Rodolfo Vieira,1,0,77,24,2,0,1,0,Middleweight,KO/TKO,Kick,3,2:24,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Gregory Rodrigues,Roman Kopylov,0,0,90,52,0,2,1,0,Middleweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Erin Blanchfield,Tracy Cortez,0,0,52,46,2,1,1,0,Women's Flyweight,SUB,Rear Naked Choke,2,4:44,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Ethyn Ewing,Malcolm Wellmaker,0,0,85,77,3,0,0,0,Featherweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Kyle Daukaus,Gerald Meerschaert,1,0,8,0,0,0,1,0,Middleweight,SUB,D'Arce Choke,1,0:50,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Pat Sabatini,Chepe Mariscal,0,0,12,7,7,0,0,0,Featherweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Fatima Kline,Angela Hill,0,0,115,56,4,0,0,0,Women's Strawweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Baisangur Susurkaev,Eric McConico,1,0,53,53,2,0,0,0,Middleweight,KO/TKO,Punch,3,1:38,1000.0,1000.0,1020.0,980.0
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,win,Matheus Camilo,Viacheslav Borshchev,0,0,39,65,5,0,0,0,Lightweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Gabriel Bonfim,Randy Brown,1,0,35,33,0,0,0,0,Welterweight,KO/TKO,Knee,2,1:40,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Joseph Morales,Matt Schnell,0,0,5,4,0,1,1,0,Flyweight,SUB,Guillotine Choke,1,2:54,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Uros Medic,Muslim Salikhov,1,0,8,2,0,0,0,0,Welterweight,KO/TKO,Punch,1,1:03,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Chris Padilla,Ismael Bonfim,0,0,64,42,0,1,0,0,Lightweight,KO/TKO,Punches,2,4:30,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Christian Leroy Duncan,Marco Tulio,1,0,23,27,1,2,0,0,Middleweight,KO/TKO,Punch,2,3:20,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Jamall Emmers,Hyder Amil,0,0,50,47,7,0,1,0,Featherweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Raoni Barcelos,Ricky Simon,0,0,82,67,1,0,0,0,Bantamweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,win,Jacqueline Cavalcanti,Mayra Bueno Silva,0,0,80,39,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00,1000.0,1000.0,1020.0,980.0
