event,event_url,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Manel Kape,Brandon Royval,win,KO/TKOPunches,1,3:18
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Kevin Vallejos,Giga Chikadze,win,KO/TKOSpinning Back Fist,2,1:29
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Cezary Oleksiejczuk,Cesar Almeida,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Melquizael Costa,Morgan Charriere,win,KO/TKOKick,1,1:14
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Kennedy Nzechukwu,Marcus Buchecha,drawdraw,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,King Green,Lance Gibson Jr.,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Yaroslav Amosov,Neil Magny,win,SUBAnaconda Choke,1,3:14
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Joanderson Brito,Isaac Thomson,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Steven Asplund,Sean Sharaf,win,KO/TKOPunches,2,3:49
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Luana Santos,Melissa Croden,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Guilherme Pat,Allen Frye Jr.,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,http://ufcstats.com/event-details/bc0f994de0521926,Jamey-Lyn Horth,Tereza Bleda,win,KO/TKOPunches,1,2:05
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Petr Yan,Merab Dvalishvili,win,U-DEC,5,5:00
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Joshua Van,Alexandre Pantoja,win,KO/TKO,1,0:26
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Tatsuro Taira,Brandon Moreno,win,KO/TKOPunches,2,2:24
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Payton Talbott,Henry Cejudo,win,U-DEC,3,5:00
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Jan Blachowicz,Bogdan Guskov,drawdraw,M-DEC,3,5:00
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Manuel Torres,Grant Dawson,win,KO/TKOPunch,1,2:25
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Chris Duncan,Terrance McKinney,win,SUBAnaconda Choke,1,2:30
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Maycee Barber,Karine Silva,win,U-DEC,3,5:00
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Fares Ziam,Nazim Sadykhov,win,KO/TKOPunches,2,4:59
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Brunno Ferreira,Marvin Vettori,win,U-DEC,3,5:00
UFC 323: Dvalishvili vs. Yan 2,http://ufcstats.com/event-details/bd92cf5da5413d2a,Jalin Turner,Edson Barboza,win,KO/TKOPunches,1,2:24
